function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K00241	7561.68	10031.48	10670.63	9832.32	12141.97	13063.71	13353	12631	14688	11368	13620	12884
K00242	5907.7	7537.65	8807.67	6819.22	10415.86	11005.82	11035	10217	12139	9195	11256	10421
K00243	2555.01	3574.6	4693.53	4156.97	6820.83	6606.73	7844	6492	8628	5843	8001	6621
K00244	304.65	411.99	292.78	732.67	389.12	279.7	300	738	330	664	306	753
K00245	139.01	355.44	132.19	296.47	94.29	53.63	30	112	33	100	31	114
K00246	136.79	359.33	134.3	296.8	87.29	53.63	23	109	25	98	23	111
K00247	99.23	276.22	104.08	268.14	54.29	48.63	19	62	21	55	19	63
K00248	3866.39	4816.09	7141.81	4885.06	7935.7	7321.45	8678	7547	9546	6793	8852	7698
K00249	14716.78	16442.62	22110.85	19156.99	15187.08	12901.75	15591	14989	17150	13491	15903	15289
K00252	6658.16	8867.3	9165.22	7830.26	9768.52	10045.19	10278	9639	11306	8675	10484	9832
K00253	5233.01	6491.77	7729.42	5706.98	8066.23	7289.67	8455	7426	9301	6684	8624	7575
K00254	6393.28	8629.81	9532.91	8100.53	10826.41	11408.97	11534	10830	12687	9747	11764	11047
K00255	3845.88	3853.17	1702.39	2460.07	1360.16	1495.47	1445	1481	1589	1333	1474	1511
K00256	126.2	176.33	209.17	137.84	18.53	14.17	39	46	43	42	39	47
K00257	31358.5	33689.61	42160.92	30917.04	33104.32	29478.43	34166	32924	37583	29632	34849	33582
K00259	2069.56	3603.79	2903.02	4124.5	2786.05	3918.31	2967	3910	3263	3519	3026	3988
K00260	630.15	218.33	248.15	1036.9	116.54	11	40	72	44	65	41	73
K00261	3673.15	4800.18	4521.89	3383.77	3597.57	4653.96	3733	4594	4107	4135	3808	4686
K00262	4375.39	5481.54	6483.72	5048.99	4516.11	5501.12	4659	5119	5125	4607	4753	5221
K00263	2392.88	4936.72	5008.91	4283.55	7202.85	6924.55	7988	6684	8787	6015	8148	6817
K00264	0	0	0	1	0	0	0	0	0	0	0	0
K00265	6852.84	8773.31	9755.72	9053.25	10990.37	11560.89	11609	11310	12770	10179	11841	11537
K00266	8201.61	11070.32	13017.3	11487.22	12381.37	12847.39	13224	13082	14546	11774	13488	13343
K00270	1	10.5	0	7	0	1	2	1	3	1	3	2
K00271	39	2	70	131.5	46.47	33	41	45	45	40	42	46
K00273	58.5	26.25	74.25	104.83	37.97	18	21	27	23	24	21	27
K00274	2837.09	3981.63	5157.2	5165.21	11952.78	11635.99	13590	11032	14948	9929	13861	11253
K00275	7379.04	10099.82	11339.22	9360.51	11844.78	12520.96	12836	11952	14119	10756	13092	12191
K00276	604.82	597.4	393.72	1121.54	190.03	137.8	144	342	158	308	146	349
K00278	6673.25	8275.57	9541.06	8416.46	10808.95	11207.89	11566	10956	12723	9861	11797	11176
K00281	4435.96	7020.98	9060.17	8011.17	10821.15	11593.97	11975	11293	13173	10164	12215	11519
K00282	1029.89	964.84	1066.3	1782.31	457.18	263.66	182	634	200	571	186	647
K00283	1028.89	964.84	1066.3	1774.81	456.18	262.66	183	632	202	569	187	645
K00284	357.33	517.17	470.66	934.66	535.84	372.67	425	747	468	672	434	762
K00285	12461.94	14812.67	19026.01	15737.04	19406.13	17823.06	20750	18575	22825	16718	21165	18947
K00286	8714.49	10477.17	10737.46	10395.27	11343.19	11676.09	11817	11677	12998	10509	12053	11910
K00287	6819.12	8752.35	9855.94	8852.71	10912.48	11455.3	11685	11211	12854	10090	11919	11435
K00288	5	4	0	2	0	0	0	0	0	0	0	0
K00290	144.66	165.66	230.29	333.67	145.58	70.26	45	195	49	176	46	199
K00293	30.17	52	104	48.33	18.5	38.34	8	137	9	123	8	140
K00294	1011.78	1457	1027.14	2206.23	514.36	413.79	568	729	625	656	579	744
K00296	0	0	0	0	1	0	0	0	0	0	0	0
K00297	8720.53	10705.26	10967.5	11104.31	11957.11	12634.21	12751	12665	14027	11399	13007	12919
K00298	2.17	0	3.33	0	12	0	8	0	9	0	8	0
K00299	6446.8	7349.88	9092.38	9462.2	11999.26	14121.73	13621	12443	14983	11199	13893	12692
K00301	1755.81	2221.61	3145.11	2416.93	7114.93	7009.65	8119	6258	8931	5633	8281	6384
K00302	3915.74	5346.5	6532.21	5786.03	12543.51	11859.3	13990	11041	15389	9937	14270	11262
K00303	6678.08	8345.94	11756.83	8564.41	24509.66	22956.6	27094	21017	29803	18915	27635	21437
K00304	3698.91	4338	6295.55	5022.88	12446.21	11790.65	13956	10941	15352	9847	14235	11160
K00305	3695.41	4338	6278.55	5001.88	12450.71	11788.15	13960	10940	15356	9846	14239	11159
K00306	0	10	0	11	0	2	12	1	14	1	13	2
K00311	6192.64	8182.52	8590.21	6639.33	8853.7	7956.92	9044	8144	9948	7330	9225	8307
K00313	96.13	131.63	140.99	259.93	694.46	1003.8	1045	785	1149	707	1066	801
K00315	194.5	78	172	244	186	109.5	95	64	105	58	97	66
K00316	138.09	516.62	1046.11	205.77	43.9	53.73	40	28	44	25	41	28
K00317	256.4	731	1559.2	273.2	345	280.67	401	252	441	227	409	257
K00318	951.82	1364	1001.07	2004.73	477.76	440.68	579	648	636	583	590	661
K00320	71.5	102	57.25	108.83	11.5	3	8	90	9	81	9	92
K00322	4603.38	5540.59	5377.96	5109.13	7264.6	7073.17	8194	6808	9014	6127	8358	6944
K00324	11432.88	14116.69	14903.4	13575.64	18866.66	18721	20130	18083	22143	16275	20533	18445
K00325	6218.7	7454.73	9123.68	8609.06	10695.97	11432.99	11550	10759	12705	9683	11781	10974
K00326	3	0	0	0	1	0	1	0	2	0	2	0
K00327	9.13	25.12	6.49	18.86	4.5	0.86	2	6	3	5	3	6
K00330	5604.75	9014.09	10061.78	8401.33	11100.48	11645.32	11675	11771	12843	10594	11909	12007
K00331	6874.66	9674.84	10379.94	8847.08	11122.95	11665.56	11677	11732	12845	10559	11911	11967
K00332	2437.6	4495.34	5088.97	4054.14	3965.35	4704.79	3552	4986	3907	4487	3623	5085
K00333	2464.1	4515.34	5191.97	4143.14	3968.82	4709.29	3554	5002	3909	4502	3625	5102
K00334	6755.66	8902.5	9944.54	8532.51	10950.67	11521.56	11615	11307	12776	10176	11847	11533
K00335	6863.33	9030.5	10088.79	9573.85	11328.5	11906.56	11970	11763	13167	10587	12210	11999
K00336	6763.66	8820.5	9906.54	9337.68	11157.67	11830.06	11829	11702	13012	10532	12066	11936
K00337	6882.33	9639.84	10434.94	8857.73	11125.28	11665.22	11678	11757	12845	10582	11911	11992
K00338	6899.83	9849.51	10409.77	8811.59	11161.12	11650.56	11666	11807	12832	10627	11899	12044
K00339	6904.66	9718.84	10373.61	8780.43	11140.62	11655.89	11669	11729	12836	10556	11902	11963
K00340	6945.63	9981.51	10395.42	8492.25	11112.66	11511.56	11560	11664	12716	10497	11791	11897
K00341	6893.66	9722.51	10352.27	8814.08	11123.62	11657.89	11672	11734	12839	10561	11906	11969
K00342	6961.16	9905.18	10554.92	8948.72	11163.59	11737.38	11701	11933	12871	10739	11935	12171
K00343	6864.66	9671.51	10388.27	8798.75	11120.29	11659.56	11670	11715	12837	10543	11904	11949
K00344	13084.59	17233.48	21647.08	17816.24	24707.36	26006.72	27020	25109	29722	22599	27561	25612
K00346	200.53	418.19	253.83	363.21	50.95	79.69	42	70	46	63	43	72
K00347	201.86	420.52	253.83	363.54	50.95	82.19	42	73	46	66	43	75
K00348	208.15	442.27	274.71	371.67	56.95	101.31	44	74	48	67	45	76
K00349	201.86	420.52	253.83	363.54	50.95	82.19	42	73	46	66	43	75
K00350	227.61	448.77	278.83	373.79	61.95	89.19	47	75	52	68	48	77
K00351	197.86	404.52	208.83	358.54	49.95	82.19	42	73	46	66	43	75
K00354	32	11	56.92	58.09	55.33	44.84	61	228	67	205	62	233
K00355	4460.81	5488.13	7175.98	5620.57	8649.4	8882.27	10329	8388	11362	7549	10536	8555
K00356	694.75	1432.59	987.33	1254.36	574.06	307.46	274	558	302	502	280	569
K00360	89.5	22.25	151	223.83	746.47	1789	710	1064	781	958	724	1086
K00362	10039.79	10269.2	12163.01	10271.05	18093.83	19418.66	21019	17434	23121	15691	21440	17783
K00363	4250.86	5779.79	8568.43	6341.05	10339.9	11244.92	11740	10446	12914	9401	11975	10655
K00364	1300.36	986.96	2277.15	1677.3	758.6	509.72	641	994	705	895	654	1014
K00365	128.5	57.25	243.25	280.5	791.8	1790	724	1106	796	995	738	1128
K00366	197.7	221.5	235.75	350.25	70	57	39	80	43	72	40	82
K00367	183	290	334	446.49	84.17	117.34	60	255	66	229	61	260
K00368	717.33	1859.77	1296.19	1365.32	2358.25	3176.85	3492	2857	3841	2572	3561	2914
K00370	1099.2	966.69	1892.48	1945.26	2664.12	3870.72	3108	2948	3418	2653	3170	3006
K00371	1123.2	1002.69	1886.48	1901.26	2679.12	3870.72	3104	2961	3414	2665	3166	3020
K00372	5303.5	5650.4	7526.82	5026.88	8325.14	8569.47	8786	7830	9665	7047	8962	7987
K00373	914.2	821.19	1809.48	1759.26	2628.62	3861.72	3079	2929	3387	2636	3141	2988
K00374	1043.2	852.69	1907.48	1882.26	2645.12	3882.72	3094	2949	3403	2654	3156	3008
K00375	12437.67	14928.76	18153.38	15575.74	11667.26	11551.32	13561	12429	14917	11186	13832	12678
K00376	340.12	440.25	913.16	600.45	558.62	418.95	653	538	718	484	666	548
K00380	5927.92	8026.5	7176.46	7822.14	8773.49	8432.27	9453	8180	10398	7362	9642	8343
K00381	7049.62	8973.49	10118.24	8388.46	9520.9	8641.9	10337	9200	11371	8280	10544	9384
K00382	16391.43	19867.89	23099.77	20740.57	20906.56	24316.34	21737	23531	23910	21178	22171	24002
K00383	3286.46	5409.48	6046.45	5662.22	8462.6	7998.49	9010	7855	9911	7070	9190	8012
K00384	10844.18	15060.9	16260.46	15605.05	14197.56	13814.51	14400	15056	15840	13551	14688	15357
K00385	1.43	0.14	1.5	0.43	0.29	0.14	0	2	0	2	0	2
K00387	56	52	81	83	13	2	8	33	9	30	8	34
K00389	447.24	740.24	1166.16	1494.06	2586.6	3832.84	2747	3005	3022	2704	2802	3065
