function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K11905	2992.24	4147.57	5950.28	4573.06	12085.47	11615.71	13733	10476	15106	9429	14007	10686
K11906	4125.46	6835.79	8788.95	6874.54	13222.85	12648.02	15036	11690	16539	10521	15336	11924
K11907	7206.1	9872.91	11486.44	9030.14	19602.79	18568.33	21972	16796	24169	15116	22411	17132
K11908	34.08	35.75	28	11.04	11	7	5	2	6	2	6	3
K11909	73.21	68.75	46.17	585.74	104.4	170.2	132	284	145	256	135	290
K11910	2979.91	4153.32	5933.73	4477.35	12080.14	11621.13	13729	10468	15102	9421	14004	10677
K11911	144.1	138.85	144.54	421.48	50.56	96.21	35	28	38	25	35	28
K11912	1813.9	2666.05	3987.53	3594.3	6453.59	6395.74	7416	5825	8157	5243	7564	5942
K11913	810.7	1489.72	2370.53	2234.5	1002.49	961.61	1154	985	1269	886	1177	1004
K11914	2643.35	3822.8	5548.7	2552.5	11565.87	10963.69	13059	9705	14365	8734	13320	9899
K11915	2442.75	3945.85	5841.23	4159.3	6919.46	6696.43	8050	6160	8855	5544	8211	6283
K11916	1526.35	2345.8	3352.7	1713.5	5789.87	5507.69	6575	4893	7232	4403	6706	4990
K11917	111.4	440.62	976.6	549.39	63.9	72.66	67	269	74	242	68	274
K11918	999.95	1209.67	1634.99	939.81	5563.31	5278.99	6260	4693	6886	4224	6385	4787
K11919	989	1177	1609	920	5497	5229	6177	4619	6795	4158	6301	4712
K11921	1147.17	1828.4	2954.85	1572.91	995.5	826.54	1136	991	1249	892	1158	1010
K11922	27.43	24.25	3.71	108.64	5	0.12	1	0	1	0	1	0
K11923	357.98	459.63	332.91	571.1	353.29	516.13	450	366	495	330	459	374
K11924	201.01	187.46	313.42	618.77	331.12	368.13	194	228	214	205	198	233
K11925	147.37	156.02	143.91	346.43	32.58	66.27	24	25	26	23	24	26
K11926	145.23	181.88	123.91	421.14	33.29	66.13	22	16	24	14	22	16
K11927	4510.6	8188.27	9044.67	7698	9019.55	8582.96	9621	8974	10583	8077	9813	9153
K11928	5933.41	6270.65	6178.06	6405.8	7699.28	7466.52	8635	7073	9499	6366	8808	7214
K11929	105.69	83.63	80.55	333.16	19.29	56.33	16	12	17	10	16	12
K11930	45.06	36.36	86.64	73.36	4.24	3.59	10	5	11	4	10	5
K11931	2963.55	3192.54	3230.32	2468.74	1450.04	1360.02	1495	1106	1644	996	1525	1128
K11932	44.72	80.45	41.96	67.71	41.04	44.72	9	11	10	10	9	11
K11933	59.01	130.77	61.02	165.18	28.29	39.13	12	9	13	8	12	9
K11934	110.31	91.96	104.91	411.05	22.96	63.13	17	14	19	13	17	14
K11935	758.72	1553.04	2469.99	1332.35	915.04	836.26	963	664	1059	597	982	677
K11936	4594.26	4176.71	3748.9	3249.24	1596.37	1398.1	1545	1167	1699	1050	1576	1190
K11937	763.72	1553.04	2464.99	1323.35	922.04	835.26	967	661	1063	595	986	674
K11938	107.48	82.96	80.58	324.1	20.79	58.13	16	13	18	12	17	13
K11939	8793.48	8501.06	9101.84	7756.05	10850.34	12008.89	12254	10898	13480	9808	12499	11115
K11940	531.4	417.96	596.24	1071.25	360.01	244.43	128	115	140	104	130	118
K11941	209.98	145.96	186.41	603.75	55.29	128.8	55	49	60	44	56	50
K11942	477.33	1231.01	818.91	1100.39	340.64	372.99	564	592	620	533	575	604
K11950	21	5	1	23.5	1	1.5	2	0	3	0	3	0
K11951	17	5	1	23.5	1	1.5	2	0	3	0	3	0
K11952	17	5	1	23.5	1	1.5	2	0	3	0	3	0
K11953	27.17	5	1	25.83	2	2.17	2	12	3	11	3	12
K11954	12.5	0	0	0.5	1	0	2	0	3	0	3	0
K11955	12.5	0	0	0.5	1	0	2	0	3	0	3	0
K11956	20.5	0	0	4.5	18	14	3	2	4	2	4	3
K11957	17.5	0	0	2.5	1	0	2	0	3	0	3	0
K11958	19.5	0	0	2.5	18	10	3	2	4	2	4	3
K11959	4170.68	5448.04	8540.77	5856.84	8769.51	8013.85	9435	8222	10379	7400	9624	8387
K11960	4054.68	5309.87	8360.44	5617.02	8652.51	7979.68	9401	8004	10341	7204	9589	8164
K11961	4049.18	5309.87	8367.11	5616.02	8652.84	7979.18	9401	8000	10341	7200	9589	8160
K11962	4119.18	5340.87	8508.61	6055.02	8656.34	7988.85	9404	8030	10344	7227	9592	8191
K11963	4097.35	5333.87	8459.11	6025.52	8665.84	7989.18	9418	8017	10359	7215	9606	8177
K11987	20	32	19	37	4	3	5	44	5	40	5	45
K11991	2632.37	3437.07	4583.87	4528.29	3499.28	4275.09	3397	4692	3737	4223	3465	4786
K11994	1	4	0	2	0	0	0	0	0	0	0	0
K11995	1	4	0	2	0	0	0	0	0	0	0	0
K11996	6691.35	8502.94	9345.7	9615.26	10352.12	11285.9	11675	10729	12843	9656	11909	10944
K12055	401.61	980.39	1786.71	807.62	385.69	339.24	497	555	547	500	507	566
K12056	93.13	90.25	59.76	514.1	75.82	35.95	22	143	24	128	23	145
K12057	266.24	492.39	172.99	556.84	92.19	33.33	23	138	25	124	23	140
K12058	173.08	282.14	118.2	527.64	70.7	32.95	21	143	23	129	21	146
K12059	57.53	55.5	49.68	434.66	45.24	27.51	15	135	17	122	16	138
K12060	164.24	275.14	102.53	510.04	76.19	27.99	22	137	25	123	23	140
K12061	181.46	291.25	115.76	544.27	88.07	34.33	23	144	26	129	24	146
K12062	62.24	57.14	54.87	456.6	45.32	28.83	21	137	23	123	21	139
K12063	267.24	493.14	173.87	566.6	93.07	34.33	22	144	25	129	23	146
K12064	70.91	74.14	39.2	462.59	56.07	31.33	19	137	21	124	20	140
K12065	167.24	310.39	109.99	540.97	92.82	35.71	20	146	22	131	21	149
K12066	76.24	74.14	54.87	479.6	59.07	34.33	18	140	20	126	19	142
K12067	81.24	109.39	53.99	502.72	62.07	36.33	17	146	18	131	17	149
K12068	65.46	109.25	45.09	448.18	48.32	28.28	18	140	20	126	18	143
K12069	17.6	31	12.87	216.44	21.2	12.87	10	115	11	103	10	117
K12070	2.91	0.89	4.31	9.93	0.4	3.2	2	3	3	2	3	3
K12071	3.08	9.89	4.31	11.93	0.4	2.2	2	3	3	2	3	3
K12072	176.24	291.39	116.99	531.3	87.07	33.33	21	136	23	122	21	138
K12073	55	89.5	86	137	19.5	44	26	48	29	44	27	49
K12085	2.67	2	3.66	0.67	41.67	14.33	6	3	6	3	6	3
K12096	10.62	14.49	6.13	7.64	7.87	8.12	3	4	3	4	3	4
K12111	21.37	23.07	6.46	8.89	8.87	11.12	3	4	3	4	3	4
K12112	21.37	20.74	6.13	8.89	8.87	9.12	3	4	3	4	3	4
K12113	46.37	51.07	31.46	18.89	19.87	16.12	8	6	9	6	8	6
K12130	0	0	3	0	0	0	0	1	0	1	0	2
K12136	33.75	30.58	25.33	11.25	13	7	5	2	6	2	6	3
K12137	35.75	31.08	28.33	13.75	14	7	6	6	7	5	7	6
K12138	33.75	30.58	25.33	11.25	13	7	5	2	6	2	6	3
K12139	0	2.33	0.33	2	4	0	0	0	0	0	0	0
K12140	110	104.83	105.83	278.5	45	46.17	25	52	27	47	25	53
K12141	127	137.33	127.83	309	49	49.17	27	84	30	76	28	86
K12142	0	2.33	0.33	1	2	0	0	0	0	0	0	0
K12143	33.75	30.58	25.33	11.25	13	7	5	2	6	2	6	3
K12144	0	2.33	0.33	1	2	0	0	0	0	0	0	0
K12145	0	2.33	0.33	1	2	0	0	0	0	0	0	0
K12146	0	2.33	0.33	0	0	0	0	0	0	0	0	0
K12147	108.98	91.96	81.08	335.1	21.29	59.13	17	13	18	12	17	13
K12148	110.48	98.46	98.91	410.39	22.29	59.13	17	14	18	13	17	14
K12149	143.23	126.71	107.91	346.14	32.29	66.13	22	15	24	14	22	15
K12151	45.48	54.71	62.46	186.52	17.79	35.25	10	9	11	8	11	9
K12152	156.51	200.6	165.01	449.77	44.09	78.45	28	63	31	57	29	64
K12202	0	7	8	3	0	0	0	0	0	0	0	0
K12203	78	57	50	190	35	56	9	11	10	10	10	12
K12204	78	57	50	181	35	56	9	11	10	10	10	12
K12205	76	57	50	181	35	55	9	11	10	10	10	12
K12206	78	57	50	181	35	56	9	11	10	10	10	12
K12207	0	7	8	0	0	0	0	0	0	0	0	0
K12208	0	7	8	3	0	0	0	0	0	0	0	0
K12209	73	57	47	169	11	46	8	5	9	5	9	6
K12210	0	7	8	3	0	0	0	0	0	0	0	0
K12211	68	57	47	149	9	42	8	5	9	5	9	6
K12212	5	7	11	20	24	9	1	6	2	6	2	7
K12213	80	57	50	181	35	55	9	11	10	10	10	12
K12214	78	57	50	181	35	55	9	11	10	10	10	12
K12215	0	0	8	0	0	0	0	0	0	0	0	0
K12216	0	7	8	3	0	0	0	0	0	0	0	0
K12217	76	57	50	181	35	55	9	11	10	10	10	12
K12218	76	57	50	181	35	55	9	11	10	10	10	12
K12219	0	7	8	3	0	0	0	0	0	0	0	0
K12221	5	7	11	11	24	9	1	6	2	6	2	7
K12222	76	57	50	181	35	55	9	11	10	10	10	12
K12223	5	7	11	11	24	9	1	6	2	6	2	7
K12224	5	7	11	11	24	9	1	6	2	6	2	7
K12225	0	7	8	3	0	0	0	0	0	0	0	0
K12226	0	7	0	0	0	0	0	0	0	0	0	0
K12227	4	21	20	7	6	19	2	1	3	1	3	2
K12228	64	29	19	139	3	23	6	4	7	4	7	5
K12234	340	284.17	736.25	1006.84	1923.64	3251.67	2209	2536	2430	2282	2253	2586
K12235	2	0	0.33	1.65	0	0.67	0	1	0	1	0	1
K12237	0	15	0	0	0	0	0	0	0	0	0	0
K12238	86.2	437.2	942.2	97.6	7	7.6	16	4	18	4	17	4
K12239	86.2	437.2	942.2	97.6	7	7.6	16	4	18	4	17	4
K12240	119.2	441.2	946.2	147.43	53.4	39.6	78	63	85	57	79	64
K12242	104.2	439.2	958.2	123.6	33.47	23.6	49	37	53	33	50	37
K12243	98.6	437.2	942.2	109.6	7.4	7.6	17	6	19	5	18	6
K12250	0	0	0	0.67	0.66	0	1	1	1	1	1	1
K12251	2619.15	5414.53	6168.51	3558.98	7947.91	7762.45	8854	7223	9740	6500	9032	7367
K12252	1049.66	2097.77	3525.57	1721.95	1166.5	1050.02	1377	1311	1514	1180	1404	1337
K12253	210.5	568.77	1090.4	575.02	332.3	367.53	467	679	513	611	476	692
K12254	2549.45	3670.94	5093.38	4300.23	7229.28	6966.14	8436	6738	9280	6064	8605	6873
K12255	2173.32	3154	4392.92	3160.16	6918.98	6800.89	8029	6402	8831	5762	8189	6530
K12256	2140.82	2980.92	4447.91	4241.48	6796.1	6646.53	7859	6717	8645	6045	8016	6851
K12257	1179.77	1476.5	1573.13	2107.82	934.57	663.35	609	890	670	801	622	908
K12261	0	0	0	1.5	1	0	0	1	0	1	0	2
K12262	8715.33	14208.5	15164.53	14377.06	12229.49	11498.51	13061	12372	14367	11135	13323	12619
K12263	114.68	102.5	88.25	516.57	29.5	4	25	22	27	20	25	23
K12264	61.13	93.91	85.31	299.15	35.69	42.53	18	14	20	13	19	15
K12265	61.73	93.71	84.91	237.35	31.29	39.13	15	11	16	10	15	11
K12266	2803.07	3901.54	6780.82	3689.87	7515.56	6946.58	8342	7006	9176	6306	8509	7146
K12267	327.4	1151.76	574.55	582.43	215.59	231.72	256	220	281	198	261	224
K12268	148.15	52.63	112.45	144.2	45.56	21.55	23	11	26	10	24	11
K12269	148.27	52.63	112.45	144.45	45.56	21.55	24	11	27	10	25	11
K12270	148.15	52.63	112.45	144.2	45.56	21.55	23	11	26	10	24	11
K12276	190.61	300.48	129.31	163.33	75.17	87.83	45	121	49	109	46	124
K12277	0	29.17	0	0	0	0	0	0	0	0	0	0
K12278	101.61	99.48	73.31	133.33	58.17	88.83	44	121	48	109	45	124
K12279	101.61	64.48	73.31	128.33	58.17	88.83	49	124	54	112	50	127
K12280	93.61	90.48	62.31	116.33	46.17	76.83	35	79	38	72	36	81
K12281	64.61	73.48	38.11	42.16	36.17	33	24	28	27	25	25	28
K12282	107.61	99.48	99.31	137.33	60.17	87.83	50	167	55	151	51	171
K12283	93.61	99.48	62.31	115.66	46.17	76.83	35	79	38	71	36	81
K12284	75.61	64.48	62.31	88.16	46.17	66.33	31	65	35	59	32	66
K12285	100.61	90.48	73.31	127.33	58.17	87.83	44	120	48	108	45	123
K12286	99.61	64.48	73.31	123.33	58.17	87.83	44	120	48	108	45	123
K12287	61.61	64.48	44.31	66.16	31.17	47.5	26	37	29	33	27	38
K12288	110.62	100.93	99.24	410.68	22.58	59.27	17	14	18	13	17	14
K12289	109.48	98.46	82.91	335.39	21.29	59.13	17	13	18	12	17	13
K12290	101.48	76.46	80.05	318.96	17.28	52.5	15	9	17	9	15	10
K12291	91.57	38.22	55.95	185.21	6.29	30.06	12	8	13	7	12	8
K12292	1.58	16.83	2.42	4	7.16	1.17	3	9	3	8	3	9
K12293	1.58	9.83	1.92	2	5.16	0	1	8	1	7	1	8
K12294	2.33	15.33	17.17	0	13.66	0.17	3	4	3	3	3	4
K12295	3.66	25.16	19.09	0	18.82	0.17	3	7	4	6	3	7
K12296	5.23	30.21	27.87	0.2	31.22	1.97	12	7	13	6	12	7
K12297	4510.75	6262.56	5510.5	5433.86	7541.3	7421.85	8409	6997	9250	6298	8577	7137
K12299	5.29	30.83	20.66	130.46	6.63	19.83	3	2	3	2	3	2
K12304	0.75	1	0	0.25	0	0	0	0	0	0	0	0
K12308	521.72	2219.59	2280.21	1693.65	6841.9	11285.49	9471	9360	10419	8424	9661	9548
K12339	5653.1	6799.56	7931.08	6668.34	8177.11	7540.34	8954	8183	9849	7365	9133	8347
K12340	8721.64	13112.64	13310.52	11225.18	15283.45	14341.75	16675	14156	18342	12741	17009	14439
K12342	4	21	20	10	6	19	2	2	3	2	3	3
K12343	1.17	10	14.58	13	11	4.75	11	0	12	0	11	0
K12349	58.83	275	75.75	127.22	46	30.83	42	145	47	131	43	148
K12368	7334.77	10604.81	15892.22	11224.89	26380.23	25098.7	29802	23472	32782	21125	30398	23941
K12369	2201.53	3039.96	4424.61	3750.39	7121.69	6717.79	7913	6367	8704	5731	8071	6495
K12370	2193.83	3039.96	4424.61	3726.09	7127.59	6716.49	7919	6359	8710	5723	8077	6486
K12371	2194.53	3045.96	4429.61	3737.39	7148.69	6727.79	7938	6367	8731	5731	8096	6495
K12372	2196.53	3044.96	4424.61	3785.39	7136.69	6724.79	7915	6359	8706	5723	8073	6487
K12373	1073.17	5538.04	2837.28	2999.09	4120.29	6991.29	4729	5118	5202	4606	4824	5220
K12405	253.43	358	275.11	184.75	340.5	464.85	440	394	484	355	449	402
K12410	5528.31	6025.69	6352.55	5669.67	7390.07	6684.41	7739	6800	8513	6120	7894	6936
K12420	8.5	183	14.25	27.5	0.64	0	2	4	3	3	3	4
K12421	14	3	0	45	7	8	6	18	7	16	6	18
K12422	2	3	0	4	3	0	1	1	2	1	2	2
K12423	7	3	0	16.5	4	2	3	6	3	6	3	7
K12424	2	3	12	6.17	4.83	0	2	2	2	2	2	2
K12426	8	6	0	17	6	0	5	3	6	3	6	4
K12427	14	15	0	23.5	16	2	6	10	7	9	7	10
K12428	17.17	29	22.5	32.5	32.58	15	26	20	29	18	27	21
K12429	55	13	100.25	107.5	63.5	33	57	35	63	32	59	36
K12430	4	6	0	10	6	0	2	2	3	2	3	3
K12431	0	0	0	4.33	0	0	3	0	4	0	4	0
K12432	2	3	0	4	3	0	1	1	2	1	2	2
K12433	12	9	0	32	10	4	7	14	8	13	8	15
K12434	6	9	0	11.33	9	0	3	5	4	5	4	6
K12436	15	6	78	43.67	11.66	7	7	21	7	19	7	22
K12437	17.17	29	22.5	34	30.58	15	26	21	29	19	27	22
K12439	2	3	0	3	3	0	1	1	2	1	2	2
K12440	6	3	0	15	3	0	4	2	4	2	4	2
K12441	6	3	0	14	3	0	4	2	4	2	4	2
K12442	5	3	0	6.33	6	0	1	1	2	1	2	2
K12443	5	3	0	25.83	6.5	0	3	7	3	7	3	8
K12444	4	3	0	10	3	0	3	2	3	2	3	2
K12445	2	3	0	4	3	0	1	1	2	1	2	2
K12448	87.67	113	80.33	104.51	96.67	41	30	82	33	74	31	84
K12450	3	0	13	5	1	0	3	23	4	21	4	24
K12452	88.64	55.81	78.83	189.61	50.29	111.31	67	324	74	292	69	331
K12453	0.14	0.14	0	0.29	0.29	0.14	0	1	0	1	0	1
K12454	221.32	255.48	328.48	528.62	203.75	145.12	84	460	92	414	85	470
K12460	0	0	0	0	0	0	0	3	0	3	0	4
K12466	6.5	0	0.25	21	1	7	3	24	4	22	4	25
K12472	133.57	64.8	136.53	243.2	43.4	7.8	26	9	28	8	26	9
K12500	147.81	695.46	250.08	517.27	55.79	111.13	41	92	45	83	42	94
K12502	18	32	19	32	3	1	2	29	3	27	3	30
K12503	217.84	97.75	625.75	758.83	1848.88	3160	2191	2266	2410	2039	2234	2311
K12506	682.42	630.42	777.83	1201.03	577.72	333.3	277	514	305	463	283	524
K12507	57.79	83.33	64.58	464	96	177	124	231	137	208	127	236
K12508	2269.6	2210.44	1740.5	2435.11	1407.33	898.67	1255	1242	1380	1118	1280	1267
K12510	5185.13	6965.16	10963.16	7670.34	16653.3	18214.08	18265	15812	20091	14231	18630	16128
K12511	4876.79	6767.91	10174.91	6528.01	14743.92	14907.58	15963	13495	17559	12146	16282	13765
K12512	3	0.75	16.88	76.13	1	0.12	0	1	0	1	0	2
K12513	2	0.75	0.88	1.13	0	0.12	0	0	0	0	0	0
K12514	3	0.75	16.88	76.13	1	0.12	0	1	0	1	0	2
K12516	2.57	0.28	3	0.72	0.58	0.28	0	1	0	1	0	1
K12517	2	6	0	1	1	1	0	0	0	0	0	0
K12518	2	6	0	1	1	1	0	0	0	0	0	0
K12519	2	6	0	1	1	1	0	0	0	0	0	0
K12521	2	6	0	1	1	1	0	0	0	0	0	0
K12523	2	6	0	1	1	1	0	0	0	0	0	0
K12524	660.18	3172.77	1246.77	1483.71	623.46	786.22	757	661	833	595	772	675
K12525	169.51	368.77	126.02	447.97	33.29	96.63	27	31	30	28	28	32
K12526	59	931	291	204.5	302	299	168	172	185	155	171	176
K12527	21.66	15.49	9.01	9.02	8.87	8.24	3	8	3	7	3	8
K12528	11.04	4.25	0	1.25	0	0	1	0	1	0	1	0
K12529	9.04	0.25	0	0.25	0	0	1	0	1	0	1	0
K12530	447.9	736.1	761.2	695.6	249	238.6	334	266	367	240	340	271
K12531	619.9	1604.1	2645.2	879.6	263	252.6	366	272	402	245	373	278
K12532	447.9	736.1	761.2	695.6	249	238.6	334	266	367	240	340	271
K12533	0	0	0	0.5	0	2	0	0	0	0	0	0
K12534	2	0	21	4.5	0	2	0	0	0	0	0	0
K12535	2	0	0	1.5	0	2	0	1	0	1	0	2
K12536	1091.06	2129.57	3491.63	2936.38	1366.21	1392.75	1741	1681	1915	1513	1776	1714
K12537	1128.56	2127.57	3494.63	3704.38	1498.71	1681.92	1927	1952	2119	1757	1965	1991
K12538	1159.56	2100.57	3487.63	4122.38	1548.71	1800.92	2022	2120	2224	1908	2062	2162
K12539	34.5	3	18	45.5	47.5	26	45	42	50	38	46	43
K12540	21	14	16	32	23	10	17	10	19	9	18	11
K12541	6111.31	6880.9	8882.07	7663.69	8927.29	8523.77	9982	8646	10980	7782	10181	8819
K12542	6649.31	7526.24	9385.41	8790.69	9764.79	9738.27	11074	9659	12181	8694	11296	9853
K12543	6437.92	7518.24	9074.78	7347.37	9380.59	9127.27	10546	8999	11600	8099	10757	9179
K12544	0	0	0	0.5	0	2	0	0	0	0	0	0
K12545	118.23	445.6	957.37	508.6	95	165.6	133	171	146	154	135	175
K12546	4	0	0	10	9	11	1	2	2	2	2	3
K12549	689.89	904.16	935.74	2520.89	895.26	1105.64	1225	1418	1347	1276	1249	1446
K12551	175.17	39.5	47	185.5	17.92	1	4	4	4	4	4	5
K12552	246.17	71.5	57	502.5	28.92	1	5	7	5	7	5	8
K12553	245.17	71.5	52	502.5	27.92	2	5	7	5	7	5	8
K12554	262.1	82.88	188.12	247.45	71.89	15.8	27	32	30	29	28	32
K12555	46.27	148.63	133.45	73.95	63.56	26.05	38	200	42	180	39	204
K12556	3.9	22.88	25.95	2.2	26.56	14.3	15	338	17	305	16	345
K12567	224	380	152	236.67	56	27	13	39	15	35	14	40
K12570	0	0	0	4	7	5	6	2	7	2	7	3
K12573	6945.61	9208.61	9647.67	8530.95	9277.38	8421.94	9482	9183	10430	8265	9672	9367
K12574	1902.01	1770.68	2027.69	3598.31	2667.23	3609.35	2568	3292	2825	2962	2619	3357
K12582	110.65	98.46	98.91	412.39	22.29	59.13	17	15	19	13	18	15
K12583	176.17	72.25	218.75	420.83	132.38	85	130	168	143	152	133	172
K12585	6	2	26	38	21	15	3	1	4	1	4	2
K12589	14	30	11	34	32	1	4	34	5	31	5	35
K12600	35.5	66	33	100	33	5	29	40	32	36	30	41
K12645	0	0	0	0.5	0.83	0	1	1	1	1	1	1
K12658	2562.64	2764.13	3432.45	3575.34	1594.2	1449.85	1923	1831	2116	1648	1962	1867
K12659	2	0	0	0	0	0	0	0	0	0	0	0
K12660	23.43	3.72	31.54	42.88	0.92	3.09	5	1	5	1	5	1
K12661	199.55	122.39	283.88	556.3	72.87	73.09	107	63	117	57	109	65
K12678	212.92	216.71	344.17	811.45	325.86	401.96	199	285	219	257	203	291
K12684	2.08	4.66	0.66	0.64	1.5	0	1	2	1	2	1	3
K12685	1935.07	3782	5577.9	2913.13	1795.69	1637.23	2104	1582	2315	1424	2146	1614
K12686	2527.76	4533.55	5273.45	4649.97	7196.37	7047.72	8195	6676	9015	6009	8359	6810
K12687	0	2.33	0.33	0	0	0	0	0	0	0	0	0
K12688	1	1	0	12	0	0	0	0	0	0	0	0
K12700	213.31	96.04	86.38	374.45	50.21	48.96	12	30	14	27	13	30
K12706	0	0	0	0	0	0	0	1	0	1	0	1
K12712	0	0	0	0.33	0	0	0	0	0	0	0	0
K12723	1	0	0	1.17	0.33	0	1	1	1	1	1	1
K12733	18	29	33	94	23	4	21	37	24	34	22	38
K12785	0	2.33	0.33	0	0	0	0	0	0	0	0	0
K12914	0	0	0	0.17	0.33	0	1	1	1	1	1	1
K12940	200.87	126.24	83.34	501.98	34.5	47.19	26	12	29	11	26	13
K12941	546.82	576.52	616.4	818.27	606.64	404.53	319	451	351	406	325	460
K12942	841.6	1042.22	524.79	2024.26	140.54	116.64	69	113	76	102	70	115
K12943	23.18	54.83	31.45	148.91	19.79	38.23	9	10	10	9	10	10
K12944	22.48	42.88	31.05	22.76	18.79	30.33	5	7	6	6	5	7
K12945	106.18	85.96	82.91	334.19	20.29	58.13	17	13	18	12	17	13
K12949	4.5	6	0.25	14	6	0	3	3	4	3	4	4
K12950	9.5	3	1.75	20.5	6	2	2	6	2	6	2	7
K12951	4	3	0	4	3	2	1	5	2	5	2	6
K12952	100.07	185.46	204.95	261.2	760.19	995.38	1094	1157	1204	1042	1116	1180
K12953	15	18	8	11	6	1	5	10	5	9	5	10
K12954	52.17	34.67	67.75	73.33	83.25	33	74	33	81	30	75	33
K12955	3	3	6	17.83	4	2	1	4	2	4	2	4
K12956	2	3	0	5	3	0	1	1	2	1	2	2
K12957	2534.93	2299.01	1125.89	1809.55	631.04	604.49	548	717	602	645	559	731
K12960	2690.87	4344.41	4908.15	4454.99	7262.97	6925.74	8044	6764	8848	6087	8205	6899
K12961	169.51	368.77	126.02	449.97	33.29	96.63	27	31	30	28	28	32
K12962	883.19	1618.68	2465.4	1756.88	957.66	895.53	1066	818	1173	737	1087	835
K12963	869.69	1585.68	2448.9	1703.38	764.66	792.53	955	740	1051	666	974	755
K12972	3697.15	4642.84	6365.24	4685.25	7421.93	6614.97	7886	6432	8675	5789	8044	6561
K12973	135.31	138.96	146.29	386.02	42.96	69.36	40	37	44	33	41	38
K12974	109.98	91.96	98.91	410.68	22.29	59.13	17	14	18	13	17	14
K12975	129.98	91.96	128.91	450.39	22.29	61.13	21	14	23	13	21	14
K12976	1920.98	2896.8	4173.19	3359.39	6879.4	6523.39	7840	6337	8624	5703	7997	6464
K12978	4	0	23	14	3	2	0	1	0	1	0	2
K12979	7333.66	10226.2	12095.37	7969.31	19692.07	18934.21	22204	17634	24425	15870	22648	17986
K12980	20	34	49	58	30	32	21	25	24	23	22	26
K12981	467.21	783.9	809.81	1021.72	316.48	329.78	415	640	457	576	423	653
K12982	134.86	1210.31	375.28	263.25	324	344	185	263	203	237	189	269
K12983	0	7	0	0	0	1	2	0	3	0	3	0
K12984	155.34	160.91	131.75	441.71	36	94.66	31	50	34	45	32	51
K12985	0	2.33	0.33	0	0	0	0	0	0	0	0	0
K12986	447	726	761	690	252	238	333	265	367	239	340	271
K12987	14	7	5	355	10	12	22	19	25	18	23	20
K12988	1446.22	2125.43	2871.37	1552.36	6005.9	5916.66	6790	5352	7469	4817	6926	5459
K12989	135.97	102	176.16	183.77	223.47	122.13	76	57	84	51	78	58
K12990	210.25	366.99	702.91	263.84	429	351.92	473	378	521	341	483	386
K12991	173	327	606	366	344	281.5	395	370	435	333	403	378
K12992	1723.66	2710.68	3955.04	2012.28	6106.67	5790.87	6954	5233	7650	4710	7093	5338
K12993	480.7	727.4	812	816	253.5	239.5	335	266	368	239	341	271
K12994	597.3	854.13	899.44	1310.15	333.49	341.48	385	376	424	339	393	384
K12995	593.65	802.6	875.3	1284.05	379.35	368.5	397	327	436	294	405	334
K12996	4.97	27.35	43.98	0.4	32.3	3.6	14	3	15	3	14	3
K12997	2.82	15.55	23.78	0.2	21.9	1.8	11	5	12	5	11	5
K12998	2.4	11.8	20.45	0.2	10.4	1.8	3	2	4	2	3	2
K12999	1.4	5.05	5.2	0.2	1.4	1.8	1	1	1	1	1	1
K13001	1	0	0	4	3	5	0	4	0	4	0	5
K13002	14.5	31	17	54	25.5	6	4	3	4	3	4	4
K13004	0	0	0	2	0	6	2	161	3	145	3	165
K13005	2.14	0.14	0	5.79	0.29	1.14	1	2	1	2	1	2
K13006	4	14.5	0	3.5	1	2	3	15	4	14	4	16
K13007	1831.94	2810.88	4054.69	2786.46	6308.58	6008.63	7165	5517	7881	4965	7308	5627
K13009	110.51	106.91	53.84	158.74	22.87	39.12	14	10	15	9	14	10
K13010	165.92	160.75	131.66	470.42	162.17	90.33	97	229	106	207	99	234
K13011	0	0	0	1	4.75	2.5	0	0	0	0	0	0
K13012	179.5	196.42	195	287.57	98.67	40.49	58	237	64	214	59	242
K13013	108.7	74	245.5	215	60	42.5	9	22	10	20	10	22
K13014	868.69	1585.68	2448.9	1703.38	763.66	792.53	955	740	1051	666	974	755
K13015	332.04	531.37	465.75	802.07	258.32	116.17	130	431	143	388	133	440
K13016	84	928.7	227.4	429.58	237.9	131.57	131	201	144	181	133	205
K13017	84.66	928.04	187.4	527.75	220.57	161.9	176	166	194	149	180	169
K13018	188.49	1026.87	360.06	657.06	283.37	228.72	210	357	231	321	214	364
K13019	109.41	1001.5	182.5	626.41	276.17	129.5	143	216	158	195	146	221
K13020	49.83	45.34	66	154.5	17.17	68	58	91	64	82	60	93
K13021	1105.63	1245.99	1678.96	842.43	5515	5263.29	6177	4603	6795	4143	6300	4695
K13028	494.33	766	812.35	1058	373.64	313.95	469	366	516	329	478	373
K13038	7334.88	9567.15	10423.13	9938.9	11289.2	11763.81	11823	11654	13005	10489	12059	11887
K13039	33.66	101.67	44.99	54.67	13.31	12.99	9	60	10	54	9	61
K13040	20.11	51.92	49.22	16.09	17.29	21.14	4	9	4	8	4	9
K13041	14.78	53.92	35.22	24.09	7.29	20.14	3	4	3	4	3	4
K13043	253.5	857	431.75	544.74	194.17	282.09	373	268	411	241	381	273
K13049	82	53	148.5	235	302	248	378	228	416	206	386	233
