function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m	S17_S16	S17_m	S18_S16	S18_m
K00067	28141	3571	6825	4168	15493	3445	18116	2428	22126	2745	33296	2293	17550	6648	15090	3046	10651	4124	12888	4939	19781	6775	7104	2592	6617	6144	27614	1635	20597	6858	10947	3924	9422	5667	7145	1786
K00068	1161	842	67	299	4061	167	3461	194	97	143	335	389	49	474	214	170	245	17	23	5	1076	164	14	12	79	714	13140	11	1449	291	546	17	6	890	7	14
K00073	136	35	106	5	535	10	4678	32	24	2	0	88	198	123	62	98	82	46	495	73	0	0	34	67	153	27	1179	25	4	151	85	26	24	220	172	33
K00074	28422	6635	8401	4269	22148	4222	20354	3195	29771	3182	25328	3582	20822	7110	14199	3464	14484	7775	15905	9269	13891	6007	30810	3261	8518	11745	66194	1933	14718	5563	14007	4372	10050	9918	11733	1854
K00075	26820	3643	7522	3379	14816	2956	13434	1796	24396	2145	25819	2096	21760	5374	10506	3277	8627	4728	11486	5891	15329	5540	18778	3029	6662	5811	29829	1568	15443	5517	8659	3716	8624	4487	21065	2540
K00076	3700	99	250	261	330	159	547	75	3385	76	975	193	203	392	1320	20	997	291	259	171	447	310	219	74	454	247	833	108	658	192	381	336	107	2250	280	108
K00077	14722	5142	7085	3468	21077	1932	14541	3422	27835	2908	15869	2060	23088	6594	12210	3600	8543	3971	10296	5267	16362	5931	14689	2502	5163	7728	29746	1264	9919	5161	13892	2641	9204	5261	20081	2237
K00082	165	0	256	0	0	0	0	0	0	0	0	0	2028	0	0	65	0	0	128	214	0	0	558	321	414	0	0	36	0	1	0	91	287	6	2807	232
K00086	1025	842	16	295	4061	166	3459	194	96	143	334	389	40	472	213	4	244	15	13	4	1076	161	2	6	18	714	13131	6	1449	291	545	14	6	856	33	5
K00087	139	0	367	10	0	2	0	0	101	0	0	0	42	1	0	538	0	22	365	3	4	1	126	20	5	0	0	8	4	0	0	17	88	0	26	6
K00088	26830	3667	9428	3675	14841	3008	13600	2078	25426	2696	25902	2100	35244	5425	10934	4073	8722	4763	12909	8122	15329	5544	38580	5166	9469	5827	29867	1801	15591	5526	9781	4199	11914	4556	41847	4311
K00090	19194	1596	2509	1473	7842	964	4604	1035	20055	923	9510	757	5600	2901	5873	1824	3567	2734	2396	621	10818	2877	3205	452	1396	2969	12806	363	4340	3051	4033	766	2716	3597	1525	310
K00091	6035	878	1586	1416	4518	1221	1330	122	13562	630	17006	538	1107	2007	2652	1014	1606	1888	2487	399	6870	2579	1666	243	934	2293	5762	339	9005	2705	1001	669	420	2154	546	365
K00093	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0
K00094	136	0	39	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	7	0	0	3	0	10	0	0	0	2	0	0	0	9	0	0	1	2
K00096	0	0	780	18	0	0	0	0	0	0	21	0	195	4	0	365	0	0	391	52	0	0	6208	124	208	0	0	12	14	1	2	34	220	2	125	42
K00097	29349	3960	6307	3572	16599	3064	18444	1859	26118	2021	28994	2185	16837	6825	11319	3038	9506	5184	11869	4800	19016	6486	8094	2206	4616	6190	31147	1540	16684	5898	9135	3737	8724	5601	6622	1669
K00098	574	1047	994	492	3601	353	10078	350	360	356	36	338	4740	825	686	696	792	89	1575	835	93	32	8772	1090	367	1231	4288	100	48	482	1844	264	750	705	6123	614
K00099	20773	2432	7186	2690	10705	1730	11620	1607	21376	1728	21419	1229	11857	4363	9304	3184	5292	3085	6565	1880	12592	3686	12936	2102	4678	3278	14528	1497	11314	4578	7312	3482	5916	4182	6539	1122
K00100	28050	3805	5942	4180	21780	2873	15423	1480	40657	1728	38444	1477	8854	7192	10631	2740	6140	5744	10439	4122	18277	5573	4397	1292	2950	5396	8301	1478	15349	9027	7389	2928	4552	8097	4401	1021
K00101	40318	3884	5893	2071	11470	1473	15365	1087	36175	1505	21919	1546	19119	4171	7128	3710	4427	5391	7182	2958	20468	6197	17876	2575	5382	3912	15298	991	10941	4819	6043	1958	8635	6490	9177	1459
K00102	12953	1133	1186	728	4267	555	15173	616	10301	597	3539	473	2954	1434	3535	599	1963	1424	2151	785	6864	1618	1094	496	778	1530	6709	508	1311	855	3067	1160	1396	1991	1798	340
K00103	0	0	159	0	0	0	0	0	0	0	0	0	304	0	0	29	0	1	77	63	0	0	317	34	227	0	0	46	0	0	0	105	198	0	170	10
K00104	15966	1297	3395	1176	4241	757	7406	1342	10392	883	6442	686	10103	2868	7333	764	3654	2124	2712	2289	6861	1374	9998	1807	3242	2439	6979	1144	1689	1555	6205	2886	3716	1994	9085	998
K00105	0	0	4	3	0	2	2	0	3	1	1	0	2	1	1	1	1	8	3	0	2	1	11	0	2	0	0	1	0	1	3	3	5	49	1	0
K00106	0	0	63	0	253	2	52	7	7	0	0	16	1	5	206	2	45	0	0	0	0	0	0	2	19	0	0	0	0	12	79	1	0	17	0	0
K00107	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	3	0	0	0	8	0	15	0	0	1	0	0	0	0	20	0	2	0
K00108	26947	2787	6026	1984	10566	1452	15477	3005	27628	2055	11687	1256	19528	3944	13025	3141	6946	3600	10263	4470	14319	4433	13617	1924	4951	3752	16318	1248	5558	4151	11384	2631	11407	9818	3907	1170
K00109	0	0	33	0	0	0	0	0	0	0	0	0	72	0	0	9	0	0	24	0	0	0	75	4	88	0	0	23	0	0	0	55	87	0	34	0
K00111	27720	3402	9664	3481	14936	2349	15189	2773	24330	2818	22653	1867	20806	5632	14382	4178	7094	3693	12004	5692	15309	4477	23887	3294	5379	5825	28814	1503	12763	5000	11470	3332	10563	5031	10249	1888
K00112	755	421	1533	163	2032	85	1731	97	850	72	222	195	25	237	107	647	123	202	325	7	686	147	163	36	9	357	6566	11	985	146	275	30	186	429	49	19
K00113	753	421	1328	163	2032	85	1731	97	749	72	222	195	58	237	107	427	123	181	198	5	683	146	181	24	10	357	6566	17	982	146	275	50	101	429	44	16
K00114	700	35	602	173	60	65	361	182	995	269	281	22	9907	239	1294	54	289	82	1705	86	283	70	954	527	1939	28	187	281	71	437	676	736	5192	1696	893	164
K00116	16284	2712	4732	2199	10409	2477	7586	1915	22100	1925	24304	1698	14804	4461	9587	2863	7042	3786	10147	4514	16385	6115	12262	2035	4347	4764	29330	469	15645	5012	7649	784	6893	6391	4938	1282
K00117	7667	1392	2772	1253	7315	671	9734	1305	15569	1206	7149	339	8569	2632	5973	1676	3677	1651	2943	448	8481	2365	5135	702	1920	1520	5263	415	3113	3259	5287	961	4854	2260	1231	345
K00118	1	92	124	158	123	24	923	71	7	216	0	11	197	100	432	319	530	22	480	2	0	2	62	71	172	30	0	94	23	91	459	192	113	30	93	6
K00121	23930	2380	6916	2128	10345	1295	11453	1703	34177	1313	19828	1315	10989	3924	10337	3498	5221	4691	5493	1623	14012	4127	6640	1077	3984	3401	15645	1341	7228	3919	6955	3095	6269	4500	3276	561
K00122	1822	453	743	499	306	336	479	94	4108	316	2223	170	428	833	1360	21	828	875	200	28	1420	390	576	87	485	1317	1815	114	212	315	867	286	332	2073	204	33
K00123	32406	4244	9079	2509	16690	1573	18339	1790	15770	1624	8735	2023	4402	4693	8701	3726	5303	3333	4402	1796	11475	2435	27486	1607	3206	5568	48147	1247	7439	3022	7335	3065	3724	7736	4311	722
K00124	15608	1676	3620	1164	6169	754	8985	1211	8601	921	4591	874	1850	2493	6475	1156	3548	1759	1993	632	4853	1194	9595	651	1415	2430	13446	699	2403	1910	5062	1748	1364	4325	2003	332
