function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K03852	128.41	1	140.59	20	11.4	4	1394.76	15	1254.24	15	988	1	19.5	22	318.66	8	32.33	2	120.74	2	913.5	3	1177.63	1	392.17	3	581	7	499	1	1723.63	6
K03855	2574	28	6756.5	1	64.83	7	1030.5	5	1414	2	410.5	23	44.04	4	372	6	86.5	4	31	24	715.5	3	3305	72	1638.5	9	0	6	0	35	202.5	5
K03856	6	1	19.33	1	411.75	1	0	0	783.31	1	0	1	1501.17	0	33	0	370.84	2	1093.16	1	9.5	49	5.67	1	5	1	1.67	1	5.96	1	0	1
K03862	3752.61	21	2062.82	282	3327.11	41	3298.65	39	5269.15	182	9965.63	17	11316.03	161	1887.69	96	2747.31	36	2246.42	106	2491.07	39	10502.83	26	3920.13	33	13945	49	8837	22	2798.71	66
K03863	8679.15	56	4416.88	210	3119.46	43	9558.45	81	7760.95	125	8415.84	37	10885.82	116	1524.5	81	2861.44	38	1916.67	211	6716.92	37	12769.57	55	8615.47	44	9903.17	87	6817	53	5280.57	56
K03867	0	0	0	0	52.5	0	0	0	0	0	0	0	2.5	0	9.5	0	8.5	1	294.5	0	0	3	0	0	0	0	0	0	0	0	0	0
K03885	25718.1	204	16637.11	278	8127.64	198	10110.37	145	19206.24	300	30846.55	150	17341.99	263	43741.12	173	14975.71	201	7085.99	416	9841.6	161	44601.35	447	17488.3	157	20608.35	202	17100.51	184	15596.25	218
K03886	0	0	3	0	272.67	0	0	0	0	0	0	0	435.83	0	7.5	0	221.33	2	84	0	0	5	0	0	0	0	0	0	0	0	0	1
K03887	0	0	3	0	312.67	0	0	0	0	0	0	0	478.83	0	5	0	313.33	2	188	0	0	6	0	0	0	0	0	0	0	0	0	1
K03888	0	0	3	0	309.67	0	0	0	0	0	0	0	478.83	0	5	0	325.33	3	188	0	0	6	0	0	0	0	0	0	0	0	0	1
K03889	38	1	45.75	7	1153.65	2	650	14	366	1	6	1	2167.33	1	3655.5	0	7175.09	42	1134.47	1	497	10	16	1	260.5	14	3	9	25	1	297.67	1
K03890	38	1	45.75	7	1140.65	2	650	14	366	1	6	1	2160.33	1	3655.5	0	7175.09	42	1134.47	1	497	10	16	1	260.5	14	3	9	25	1	297.67	1
K03891	38	1	45.75	7	1148.65	2	650	14	366	1	6	1	2244.33	1	5630.5	0	7694.09	67	1228.47	1	497	10	16	1	262.5	14	3	9	25	1	297.67	1
K03892	24122.42	268	23431.45	452	11124.93	154	19445.67	169	21739.1	302	35657.38	121	30344.73	252	14077.69	263	29263.73	239	9480	317	15802.33	247	59904.52	436	15270.58	185	20549.19	252	18732.64	221	14558.03	212
K03893	7814.18	78	6488.12	125	2754.72	24	5984.06	44	4629.84	30	16407.59	39	8080.16	42	2186.61	122	3766.66	42	2555.84	95	3745.77	33	23010.9	44	7146.34	47	4447.17	38	5813.67	63	3480.32	109
K03894	0	0	0	6	63	1	0	0	1	1	136	1	974.5	3	7.33	2	0	1	2	0	0	1	0	0	0	1	892	2	130.67	0	0	6
K03895	0	0	0	6	63	1	0	0	1	1	136	1	974.5	3	7.33	2	0	1	2	0	0	1	0	0	0	1	892	2	130.67	0	0	6
K03896	0	0	0	6	63	1	0	0	1	1	136	1	973	3	1.33	2	0	1	0	0	0	1	0	0	0	1	892	2	130.67	0	0	6
K03897	2199.21	38	1062.62	108	1488.07	72	242.62	8	3288.12	52	4257.38	23	4033.02	44	15964.08	21	1261.92	36	1365.54	132	311.25	8	9429.33	193	2634.38	31	10000.17	32	6283.51	45	2938.67	52
K03918	5614	43	1209	28	265.5	87	525	24	5066	158	4295	52	1083	120	18040	32	603	38	1041.67	123	936	7	4582	148	2255	36	5170	60	4232	43	5140	46
K03919	8952.39	61	9046.16	110	1611.21	26	5805.45	49	5241.52	45	16109.96	36	5017.69	48	4178.28	92	2880.32	36	1475.34	128	4729.68	41	17245.85	52	4698.42	38	3927.34	61	5398.17	58	5049.75	84
K03921	6796	49	2693	33	635.59	92	1193	39	6736.5	163	7375	57	1555.41	124	17247.17	45	976.83	32	1506.25	133	1845	17	5279	167	5732	41	5639	67	4564	56	5992	68
K03922	0	0	0	0	20	0	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K03923	11551.6	126	6217.58	128	2121.03	146	4946.15	67	11736.15	341	14359.96	85	6863.08	249	17369.11	102	3074.07	40	2104.83	209	4353.22	13	17404.32	242	9717.62	82	12092.17	138	8620.67	102	9546.22	108
K03924	25053.08	177	18509.32	434	13482.44	252	16404.34	216	26608.13	166	45809.13	161	28195.43	170	68449.57	260	23205.98	298	12041.12	632	15157.4	367	31269.67	677	25402.8	204	31291.52	229	28687.43	254	18825.14	332
K03925	15830.27	112	11836.78	159	5689.9	128	8142.8	89	13828.3	208	23936.84	101	12442.75	176	28573.36	139	17651.93	138	5750.97	266	7740.85	168	22961.42	263	8391.8	94	10843.34	142	10507.38	127	11026.18	151
K03926	4968.55	26	2638.45	66	2737.71	14	1186.12	23	3607.62	35	3731.14	24	5343.98	40	3763.08	25	1700.83	22	1272.62	89	1599.25	77	7406.67	34	2393.55	21	3087.5	41	2739.92	39	2582.33	19
K03927	2	0	0	0	0	0	0	0	4	0	0	0	0	0	394	0	4	1	5	0	0	1	0	0	0	1	0	0	0	0	0	0
K03928	1450.27	17	1236.36	63	2829.23	7	3099.2	17	1083.11	12	1621.08	8	7004.89	18	3485.53	34	14014.01	48	2337.79	29	2067.1	22	1702.04	10	2435.17	10	1719.34	20	2378.96	16	1545.09	25
K03929	7701	18	8900.75	46	3514.9	67	2836.4	76	7795.7	2	4849.38	46	7579.53	13	21822.17	4	15847.02	89	3303.07	227	3321.01	94	8387.5	206	6613.5	65	5616.5	55	4664	63	4779.17	43
K03930	0	0	4.33	1	4.4	1	0.6	1	10.81	1	0	0	1.33	0	0	1	9.83	0	35.66	0	3	1	0.67	1	12	1	3.67	1	1.96	1	2.4	1
K03931	2104	23	1781.5	2	235.75	5	597.5	4	1435	2	413	11	1546.75	3	436	6	12	4	26.5	18	431.5	2	2606	12	1433.5	6	1.5	4	94.25	22	164.5	5
K03932	1991	18	5645.75	1	338.29	5	1132	13	579	0	0	10	726.83	1	1799.33	0	698.12	29	584.43	3	1186.5	16	1752	28	2893	3	6	3	32	15	700.68	1
K03933	4275.18	48	3340.55	16	2249.84	18	10470.82	72	3000.13	8	4549.58	20	3260.08	8	5120.18	21	1772.95	66	1965.95	84	6925.05	5	9120.77	31	6867.38	56	981.84	69	321.88	45	4088.8	13
K03941	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K03943	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	3	1	8	0	52	3	0	0	0	0	0	0	0	0	0	0
K03955	0	0	0	0	3	0	0	0	0	0	0	0	12	0	3	0	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K03969	2443.76	26	2188.24	20	4415.54	39	1408.74	30	3879.74	122	2112.64	19	7902.81	83	3523	25	10542.27	42	3348.24	25	1140.67	54	10351	36	2185.76	42	1030	47	742.17	21	2651	22
K03970	2117.38	21	1908.62	8	1710.75	5	518.12	4	755.62	3	753.76	10	3362.45	6	212.58	7	2604.25	5	376.87	19	345.75	17	2619.5	18	1486.38	6	937.5	5	316.92	16	175	10
K03971	2104	21	1729.5	7	220.38	5	483.5	4	738	3	749.88	10	2076.83	6	177.33	7	1850	2	1.25	18	279.5	1	2606	11	1433.5	6	932.5	5	216.67	16	166.5	10
K03972	2125	26	1804.5	1	37.62	33	742.5	13	3228	120	1747.88	18	214.46	79	263	23	340	7	112.83	24	553.83	8	2665	18	1526.5	21	2	36	121	17	2217.5	14
K03973	2150.76	21	2109.24	8	1802.92	5	525.74	4	777.74	3	753.76	10	3764.07	6	275.83	7	3071	8	650.99	19	349.17	22	2637	25	1486.76	6	937.5	5	318.92	16	176.67	10
K03974	2137.38	21	1940.62	9	1723.13	5	518.12	4	755.62	3	957.14	10	3364.57	6	212.58	8	2604.25	6	376.87	19	346.42	17	2626.5	18	1486.38	6	978	5	402.92	16	175	10
K03975	17472.22	174	8711.67	328	7101.42	220	8141.28	135	21533.16	546	31346.46	111	18566.46	403	31464.95	203	23972.5	168	5351.46	311	8002.42	98	26404.32	355	15162.16	137	19271.34	237	15694.88	150	15699.59	203
K03976	7249.31	89	8536.11	157	5350.66	37	5302.77	44	6161.35	62	7161.84	26	11639.19	55	10669.7	71	16542.34	108	3981.6	80	3873.22	33	15372.49	99	4922.5	47	7841.18	60	6366.72	56	2650.29	53
K03977	18214.1	149	13435.41	244	7499.91	148	8975.32	108	16952.8	259	26819.84	105	16082.58	215	30438.2	154	18992.18	165	6718.55	291	8661.97	193	25637.47	336	11745.92	107	15159.18	169	12944.22	145	11950.44	172
K03978	18176.1	149	13363.24	238	6117.35	147	8325.32	94	16524.8	258	26677.84	105	13225.66	215	21275.53	154	5634.17	77	3977.08	291	8161.97	158	25621.47	336	11482.42	93	15156.18	161	12919.22	144	11650.77	166
K03979	18214.1	149	13438.66	244	7536.91	148	8975.32	108	16952.8	259	26819.84	105	16059.08	215	29687.2	154	18778.43	152	6673.55	291	8661.97	193	25639.47	336	11745.92	107	15159.18	169	12944.22	145	11950.44	171
K03980	11366.1	99	10758.33	213	7615.3	58	7961.32	83	8731.89	96	19448.84	49	14785.08	91	13896.2	109	18743.67	148	5707.71	158	6664.72	170	20353.3	169	6254.42	79	9519.51	111	8389.26	89	6241.71	102
K03981	9886.76	146	5614.62	406	6260.18	80	5259.9	51	9941.64	226	25154.6	34	17235.51	190	3809.37	154	5680.41	32	1919.32	180	4383.85	72	21353.98	160	6286.71	57	18726.85	127	14781.1	85	6115.43	129
K04013	2104	21	1729.5	3	1499.12	5	483.5	4	737	2	551.88	10	2832.25	3	30	6	150	2	5.83	18	272.5	1	2606	11	1433.5	6	3	4	188.5	16	156.5	10
K04014	2104	21	1729.5	3	1504.62	5	483.5	4	737	2	551.88	10	2833.25	3	30	6	150	2	5.83	18	272.5	1	2606	11	1433.5	6	3	4	188.5	16	156.5	10
K04015	2104	21	1729.5	3	1499.12	5	483.5	4	737	2	551.88	10	2832.25	3	30	6	150	2	10.83	18	272.5	1	2606	11	1433.5	6	3	4	188.5	16	156.5	10
K04016	2104	21	1729.5	0	1064	5	483.5	4	737	2	546.5	10	466	3	8	6	150	1	0.83	18	272.5	1	2606	11	1433.5	6	0	3	0	16	156.5	10
K04017	2104	21	1729.5	0	39	5	483.5	4	737	2	546.5	10	466	3	8	6	0	1	0	18	272.5	1	2606	11	1433.5	6	0	3	0	16	156.5	10
K04018	2104	21	1729.5	2	1283.37	5	483.5	4	737	2	549.38	10	1707.5	3	19	6	150	1	2.5	18	272.5	1	2606	11	1433.5	6	1.5	4	94.25	16	156.5	10
K04019	2104	21	1732.5	1	118.13	5	490.5	4	865	2	663.13	10	68.58	3	13	6	226	1	98	18	273	2	2606	11	1434.5	6	40.5	3	88	16	156.5	5
K04020	2104	21	1729.5	1	3.38	5	483.5	4	737	2	613.88	10	7.83	3	8	6	0	1	0	18	272.5	1	2606	11	1433.5	6	40.5	3	86	16	156.5	5
K04021	2104	21	1729.5	1	9.38	5	483.5	4	737	2	613.88	10	13.83	3	15.5	6	6	1	0	18	272.5	2	2606	11	1433.5	6	40.5	3	86	16	156.5	5
K04022	2104	21	1729.5	1	3.38	5	483.5	4	737	2	613.88	10	7.83	3	8	6	0	1	0	18	272.5	1	2606	11	1433.5	6	40.5	3	86	16	156.5	5
K04023	2104	21	1732.5	1	154.08	5	490.9	4	961.2	2	712.38	10	102.33	3	13	6	290.6	1	168.6	18	272.5	3	2606	11	1434.5	6	40.5	3	88	16	156.5	5
K04024	2104	21	1729.5	1	6.88	5	483.5	4	853.78	2	613.88	10	26.83	3	51	6	0	1	2	18	273	2	2606	11	1433.5	6	40.5	3	86.58	16	156.5	5
K04025	2104	21	1729.5	1	3.38	5	483.5	4	737	2	613.88	10	7.83	3	8	6	0	1	0	18	272.5	1	2606	11	1433.5	6	40.5	3	86	16	156.5	5
K04026	2104	21	1732.5	1	107.38	5	490.5	4	865	2	613.88	10	47.83	3	13	6	171	1	98	18	272.5	2	2606	11	1434.5	6	40.5	3	88	16	156.5	5
K04027	2104	21	1732.5	1	121.38	5	490.5	4	823	2	613.88	10	85.83	3	115	6	191.5	1	103.5	18	273	5	2606	11	1434.5	6	40.5	3	88	16	156.5	5
K04028	2104	21	1735.5	1	245.75	5	490.5	4	958.64	2	614.26	10	265.58	3	74.5	6	536.5	1	342.25	18	274	14	2606	11	1434.5	6	40.5	3	88.29	16	156.5	6
K04029	4208	41	3462	2	112.76	9	974	8	1632.78	4	1227.76	20	68.95	6	21	12	171	1	100	36	546	2	5212	22	2868	12	81	6	174.58	32	313	10
K04030	2104	21	1729.5	1	24.38	5	490.5	4	846.14	2	876.71	10	26.83	3	13	6	27.17	1	59	18	273	1	2606	11	1434.5	6	65.17	3	88.29	16	156.5	5
K04031	4208	41	3462	2	122.76	9	974	8	1653.78	4	1227.76	20	68.95	6	21	12	171	1	102	36	546.5	2	5212	22	2868	12	81	6	174.58	32	313	10
K04032	2104	21	1729.5	1	3.38	5	483.5	4	844	2	613.88	10	7.83	3	8	6	0	1	2	18	272.5	1	2606	11	1433.5	6	40.5	3	86	16	156.5	5
K04033	3528.98	37	2831.32	52	1347.78	10	3644.52	22	1472.52	4	2006.88	18	2842.95	8	1261.2	37	911.4	20	1908.37	47	2301.85	19	3440.7	21	3668.88	18	1192.5	23	2211	31	1430.1	24
K04034	299	3	401	0	9.5	3	371	1	680	1	0	9	32.5	1	7.33	0	91	1	80.5	6	403	7	383	52	205	3	0	3	0	15	13	0
K04035	297	3	426	0	515.5	12	371	1	736	0	0	9	70	1	35.83	0	230.5	4	612.67	6	351	20	377	52	208	4	0	6	0	15	28	0
K04036	297	3	401	0	6	3	371	1	662	0	0	9	11	1	7.33	0	60	1	10	6	403	4	377	52	205	3	0	3	0	15	0	0
K04037	297	3	401	0	446.5	12	371	1	736	0	0	9	55	1	23.33	0	114.5	4	369.25	6	403	15	377	52	205	4	0	6	0	15	28	0
K04038	297	3	426	0	473.5	12	371	1	736	0	0	9	73	1	27.33	0	243.5	4	452.25	6	403	19	377	52	208	4	0	6	0	15	28	0
K04039	297	3	401	0	453.5	12	371	1	736	0	0	9	59	1	23.33	0	127.5	4	377.25	6	403	16	377	52	205	4	0	6	0	15	28	0
K04040	297	3	426	0	466.5	12	371	1	736	0	0	9	70	1	27.33	0	253.5	4	444.25	6	403	19	377	52	210	4	0	6	0	15	28	0
K04041	2	1	6.33	1	85.79	1	9.4	1	1588.76	1	0	0	47.33	0	5	1	56.43	2	191.68	1	6.25	2	0.67	0	12.5	1	3.67	1	3.96	1	2.33	2
K04042	11332.1	99	10741.99	212	7310.24	56	7346.32	69	8493.9	96	19308.84	49	14519.91	91	13587.2	109	18573.93	137	5640.05	158	6173.47	162	20341.97	169	6013.92	66	9520.18	103	8380.22	89	5960.44	98
K04043	18214.1	149	13484.66	244	7628.88	148	8975.92	108	17041.8	259	26683.84	105	15764.92	215	29484.7	154	19315.63	153	7761.3	291	8669.97	235	25637.47	336	11754.92	108	15159.18	169	12946.22	145	11950.84	167
K04044	7701.6	77	4245.91	198	4389.87	46	4850.65	46	6627.39	95	18796.84	34	9610.5	87	2243.03	108	1662.25	40	1335.9	143	3848.05	56	16443.7	100	5158.92	43	9145.34	74	8068.59	68	4375.47	98
K04045	1634.72	50	1424.08	61	1112.99	12	3825.88	22	2423.02	11	3262.25	9	3526.03	11	256.7	52	403.57	12	849.12	43	2483.35	9	7594.08	10	2575.75	21	829.5	40	2095.5	15	1915.75	30
K04046	11940.27	85	12222.53	82	3289.07	38	7008.57	66	7471.64	25	15871.34	60	9798.83	41	2960.86	86	3143.07	57	1755.16	146	5714.6	66	20422.35	132	9258.3	51	4034.34	69	4282.09	90	4687.75	89
K04047	24045.36	210	19722.23	219	6588.44	213	10729.56	148	21333.69	375	35992.84	147	14307.69	305	33539.7	195	18661.26	169	6546.8	385	10702.97	146	29584.07	365	14597.68	153	16654.18	237	15095.22	166	17499.67	246
K04049	0	0	0	2	215.75	2	0	0	0	0	5.5	0	1124.75	1	11	1	0	1	2.5	0	0	1	6698	1	0	7	1.5	1	94.25	0	0	1
K04050	0	0	0	2	215.75	0	0	0	0	0	2.5	0	1124.75	1	11	1	0	1	2.5	0	0	1	0	1	0	0	1.5	1	94.25	0	0	1
K04051	0	0	0	7	223.75	2	0	0	1	1	5.5	1	1260.75	3	12.33	2	0	1	2.5	0	0	1	6698	1	0	7	893.5	2	224.92	0	0	1
K04052	0	0	0	7	223.75	1	0	0	1	1	2.5	1	1260.75	3	12.33	2	0	1	2.5	0	0	1	0	1	0	1	893.5	2	224.92	0	0	1
K04053	0	0	0	7	223.75	2	0	0	1	1	5.5	1	1260.75	3	12.33	2	0	1	2.5	0	0	1	6698	1	0	7	893.5	2	224.92	0	0	1
K04054	0	0	0	7	223.75	2	0	0	1	1	5.5	1	1260.75	3	12.33	2	0	1	8.5	0	0	1	6698	1	0	7	893.5	2	224.92	0	0	1
K04056	0	0	0	2	215.75	2	0	0	0	0	5.5	0	1124.75	1	11	1	0	1	2.5	0	0	1	6698	1	0	7	1.5	1	94.25	0	0	1
K04057	0	0	0	2	215.75	2	0	0	0	0	5.5	0	1124.75	1	11	1	0	1	2.5	0	0	1	6698	1	0	7	1.5	1	94.25	0	0	1
K04058	0	0	0	52	764.75	2	15	2	461	9	1215.5	2	4085.08	9	212.58	48	248.75	11	796.25	13	3	2	6706	2	0	11	1669.5	4	2050.92	0	24	23
K04059	0	0	0	7	223.75	2	0	0	1	1	5.5	1	1260.75	3	12.33	2	0	1	2.5	0	0	1	6698	1	0	7	893.5	2	224.92	0	0	1
K04060	0	0	0	7	303.75	2	7	1	1	1	170.5	1	1820.75	3	82.33	2	31	1	29.5	0	2	1	6698	1	0	7	893.5	2	224.92	0	0	1
K04061	1460.6	17	1201.7	56	2041.16	18	3954.9	26	1837.14	11	3450.46	9	4511.92	11	415.03	50	1171.9	23	1462.74	39	2670.6	44	7552.08	16	2578.63	22	2147.17	27	3251.5	16	2179.85	27
K04062	5352.13	27	3260.87	74	830.52	16	1669.38	31	4224.12	46	13477.88	18	4918.3	56	2327.82	48	4058.99	13	299.03	84	1698.08	30	7746.39	27	2935.76	21	3225	35	2756.17	28	3239.74	67
K04063	14208.22	106	7045.83	151	4551.82	121	8518.28	104	12822.26	205	17295.84	87	9402.87	164	21473.87	132	11520.41	88	4794.86	262	8015.52	73	19762.56	214	11197.88	92	9761.17	125	10391.25	111	11282	127
K04064	3503.6	37	2807.7	6	640.78	10	3538.9	17	1551.4	9	1581.71	17	2177.83	8	244.2	22	1895.32	5	31	52	2255.1	1	10097.2	19	3549.5	16	1386.17	17	1407	31	1322.1	17
K04065	10200.82	88	4947.28	87	1836.17	71	7547.18	51	5128.42	53	7459.72	63	7236.91	60	16638.98	72	2561.22	23	1841.12	198	5274.95	23	14452.28	164	7697.75	47	8193.67	66	7464.17	74	6188.45	73
K04066	18182.1	148	13270.66	205	8117.91	143	8729.32	107	16700.8	237	25571.84	105	16096.58	202	31226.2	141	18814.93	164	6740.55	283	8174.97	194	25637.47	335	11641.92	106	13983.18	162	11303.22	136	10888.44	170
K04067	2104.38	21	1760.12	7	249.75	5	486.12	4	739.12	3	799.51	10	2214.95	6	187.58	7	1974.75	2	27.7	19	280.75	1	2606.5	17	1433.88	6	934.5	5	222.67	16	166.5	10
K04068	2152.5	21	1809.33	14	1906.77	6	1160.5	18	3037.76	3	1068.01	10	4233.91	7	4609.33	8	8033.43	41	1566.59	19	811.75	11	2646.17	12	1711.5	21	1275.67	15	551.88	17	480.23	12
K04069	6472.5	47	4158	60	3936.74	19	2973	51	8352.72	27	3813.4	29	9507.74	27	5974.58	28	8391.1	49	1943.76	103	2824.33	61	8094.17	38	3990	50	2253.67	48	2438.54	50	2455.9	36
K04070	6	0	0	0	69.17	1	0	0	233.5	0	0	1	68.17	0	0	0	62	1	83.25	1	5.5	8	5	1	0	0	0	1	0	1	0	1
K04072	2140	21	1795.83	11	1849.74	6	1120.1	18	1121.81	3	756.76	10	4979.82	6	4603.33	7	7855.16	39	1299	18	830	9	2618.67	12	1702.5	20	942.67	13	335.88	16	454.9	11
K04073	2134.5	21	1789.38	12	751.38	9	485.75	6	1200.25	12	1666.54	10	993.62	18	914	8	270.59	5	406	23	299.29	8	10255.62	12	1721.12	16	617.84	7	451	18	509.12	14
K04074	443	2	804.33	1	933.86	2	351	11	807.51	1	0	1	2314.41	1	297.17	1	6508.76	9	694.84	2	453.75	18	69.67	16	2695.5	3	3.67	1	3.96	2	287.73	2
K04075	18216.1	149	13436.41	246	8103.66	148	8976.32	108	16926.3	259	26821.34	105	17171.83	215	29519.2	154	18869.18	153	6807.05	291	8655.97	194	25636.47	336	11693.42	107	15159.18	170	13038.47	145	11943.94	172
K04076	0	0	0	0	53.25	0	0	0	7	0	0	0	394.5	0	5	0	55	1	14	0	2	1	0	0	0	0	0	0	0	0	0	0
K04077	19833.6	165	18470.41	251	8806.59	163	9802.32	112	17506.3	259	27531.22	113	18329.53	217	31912.7	154	26454.45	191	9298.44	313	9419.14	233	27473.97	373	12232.92	115	16214.68	174	13802.22	154	12782.61	179
K04078	19839.1	165	18359.66	249	8070.11	153	10429.32	123	17392.8	259	27027.22	110	16479.87	216	31158.2	154	20175.61	177	7648.97	293	9908.14	216	27359.47	346	12059.92	121	15202.68	179	13045.22	149	12553.44	172
K04079	14860.6	126	7263.58	245	5622.54	143	7378.65	103	16385.29	258	27091.84	86	13307.67	213	24694.53	154	5119.91	80	3683.24	278	6989.55	128	22755.2	277	11561.92	100	15287.34	153	13153.59	119	10806.47	172
K04080	11757.93	89	14787.58	81	4555.7	33	7346.32	40	3921.39	16	6296.72	45	7159.04	24	2065.2	59	4368.49	45	2022.74	86	5898.06	59	18110.13	164	4677.25	34	4296.51	46	4294.51	80	4342.21	37
K04081	2104	21	1729.5	7	24.38	5	483.5	4	738	3	613.88	10	514.83	6	9.33	7	0	1	0	18	274.5	1	2606	11	1433.5	6	932.5	5	216.67	16	156.5	5
K04082	7701.6	77	4245.91	198	4410.37	46	4850.65	46	6627.39	95	18796.84	34	9625.5	87	2241.03	108	1667.25	40	1341.9	143	3848.05	61	16443.7	100	5158.92	43	9145.34	74	8068.59	68	4375.47	98
K04083	11286.1	99	10690.91	205	5365.93	55	6604.32	55	8135.9	96	19438.84	49	12520.08	91	4461.2	109	5239.17	52	3116.08	157	5619.97	129	20320.97	169	5753.42	52	9517.18	94	8355.22	89	5658.77	103
K04084	17865.7	222	9623.28	266	5922.11	184	10371.05	113	20575.34	377	28655.67	106	14770.64	292	21723.73	179	7213.65	71	3323.92	325	9305.65	140	30956	294	14863.42	119	15721.01	229	13794.59	144	14294.47	180
K04085	10865.76	131	10494.46	231	5659.94	54	5907.57	38	6495.14	114	9703.84	44	13417.17	97	1619.37	87	4871.66	38	2245.82	113	4533.34	77	19114.68	209	5290.37	44	11715.68	85	8429.43	92	4098.4	66
K04086	0	0	0	0	8.77	0	1	0	3.2	0	0	0	0.67	0	0	0	10.6	1	73.93	0	0	1	0	1	1	1	0	1	0	0	0.4	0
K04087	9814.87	77	10206.23	167	5281.22	43	9556.47	68	7606.54	53	19763.92	53	12287.91	58	4523.81	141	4752.97	55	3169.07	172	7399.7	120	18072.55	122	7409.8	55	6001.01	91	7746.09	88	6316.85	111
K04088	8415.27	61	9124.53	122	4828.73	38	6477.07	53	6515.64	45	16702.84	46	9478.33	52	4354.36	94	4414.57	45	2379.07	135	5418.1	112	17278.35	112	5241.3	45	5198.84	73	5920.09	73	5128.75	87
K04090	3030.41	13	5901.47	70	1344.11	27	2546.01	33	5380.99	51	14185	23	2356.77	50	4871.66	73	1014.25	24	909.74	98	2372.28	79	5185.55	79	1642.29	20	2523	36	2679	33	3498.95	67
K04091	18353.76	251	22756.4	300	5199.13	71	19609.99	136	12360.21	88	13114.63	66	18222.86	94	7876.63	162	7846.44	107	4915.62	241	14051.27	67	25421.06	152	12965.54	102	12767.18	177	13458.34	107	10108.27	99
K04092	2050	20	5506.5	53	1682.6	10	2005.27	19	1242.5	2	659	16	4387.83	4	9140.5	31	13076.67	85	2177.17	12	1743.67	31	2385.6	66	727.5	18	766.17	15	1859.67	20	755.97	17
K04093	1399.6	16	1078.95	59	1246.3	6	3077.4	16	914.4	9	1530.08	8	5748.25	10	14387.28	48	2507.74	13	1160.8	38	1986.6	9	7491.2	10	2117.5	14	3370.67	18	3402.67	15	1197.27	24
K04094	3661	23	6485.83	3	1019.64	9	1852.67	10	1451.51	1	58	20	797.08	3	1187.17	1	1294.1	24	1427.01	15	1963.42	66	3869.27	71	630	10	7.84	19	17.63	31	1285.3	2
K04095	10177.6	74	4173.03	170	2182.86	27	3766.9	29	3533.72	149	5073.13	44	9380.03	127	3043.78	94	2271.07	20	974.91	79	2786.77	6	10514.87	76	3758.5	26	7865.17	47	5643.34	47	2394.1	48
K04096	18347.1	154	18045.66	246	7592.84	148	9036.92	108	16950.6	259	27023.22	110	16082.86	216	31279.2	154	19039.5	170	6644.37	292	8629.97	188	26008.47	345	11745.92	107	15199.68	169	13036.22	148	12002.44	172
K04098	52	1	102	56	653.5	17	2	1	492	49	750	1	2479.5	34	1055.33	13	305	16	277	3	6	8	1421	1	126	4	2742	4	1599	1	171	9
K04099	48.67	1	83.83	5	39	1	9	2	39.5	0	0	1	24	1	11.33	0	48.33	3	43.5	1	4	9	70.17	1	187.17	1	1321	1	1324	1	100.83	0
K04100	4463.17	11	5526.33	15	265	14	520	31	4582.5	10	1485	20	105.5	24	708.33	4	65.83	9	160.5	116	885.68	32	6863.67	37	1191.17	20	591.5	36	512	10	1177.83	6
K04101	5828.29	22	5531.21	20	254	18	1844.88	39	5158.12	13	1811	20	107.5	27	708.33	7	154.83	9	269.62	116	1984.77	27	8176.55	37	1319.92	21	617	38	582.5	10	2159.58	8
K04102	1652.17	18	4760.33	11	252	4	798	3	331.5	10	337	5	1148.5	15	818.33	3	1938.83	11	164.25	3	769.67	6	2768.67	10	367.17	3	529.5	5	358	5	626.83	3
K04103	4270	23	2498.5	11	380.98	9	709.9	18	2919.2	7	4544.88	18	2855.66	11	241.5	16	1986.1	3	201.98	76	656.25	7	5450	26	1877	15	714.5	18	593	20	567.83	39
K04105	0	0	0	0	18	0	0	0	0	0	0	0	22	0	3	0	31	1	8	0	0	2	0	0	0	0	0	0	0	0	0	0
K04107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K04108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25	0	0	1	0	0	0	0	0	0	0	0	0	0
K04109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K04110	2166.67	4	415.83	13	115.33	12	172	17	2473.5	10	910	8	106.33	19	313.33	4	58.33	4	122.75	58	385	17	3733.17	14	748.17	12	561	21	435	3	793.83	5
K04112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K04113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
