function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K12521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K12522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K12523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K12524	14889.88	117	6704.62	58	1930.42	115	2917.12	58	11436.37	213	14977.76	101	5591.78	181	33461.58	93	2776.75	37	1468.2	196	4120.75	35	11980	217	9102.38	63	8427	101	6358.92	101	8206.5	127
K12525	2104.38	21	1760.12	8	1482.75	5	486.12	4	739.12	3	752.76	10	3318.95	6	198.58	7	2069.75	3	31.87	19	280.75	2	2606.5	18	1433.88	6	936	5	316.92	16	166.5	10
K12526	14.5	1	3.5	5	85.5	1	31	1	46	1	584	1	1565.5	2	969	1	195.5	3	138.5	1	20	4	45	1	7.5	1	376	2	267	1	38	3
K12527	0	0	0	2	254.75	1	0	0	21	0	138.5	0	1596.46	1	11	1	2	1	4.5	0	0.5	1	0	1	0	0	1.5	1	94.25	0	0	6
K12528	0	0	0	2	258.25	1	0	0	0	0	138.5	0	1596.46	1	11	1	0	1	2.5	0	0	1	0	1	0	0	1.5	1	94.25	0	0	6
K12529	0	0	0	2	258.25	1	0	0	0	0	138.5	0	1596.46	1	11	1	0	1	2.5	0	0	1	0	1	0	0	1.5	1	94.25	0	0	6
K12530	1399.6	16	1078.2	6	73.15	5	3055.4	14	483.4	1	49.25	7	156.75	3	6.53	2	76.4	1	0	25	1975.6	1	785.2	9	2116	4	894	15	136.67	15	1155.6	1
K12531	1399.6	16	1078.2	6	85.15	5	3055.4	14	483.4	1	49.25	7	912.75	3	6.53	2	76.4	1	0	25	1975.6	1	785.2	9	2116	4	894	15	136.67	15	1155.6	1
K12532	1399.6	16	1094.2	12	81.15	5	3055.4	14	484.4	1	49.25	7	293.75	6	7.86	3	76.4	1	9	25	1975.6	1	785.2	9	2116	4	1786	17	267.34	15	1155.6	1
K12533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12536	4959.2	53	4021.9	102	1826.94	15	6624.3	35	2538.8	11	15159	26	5614.14	15	317.56	105	899.3	22	1679.5	84	4246.7	15	10894.4	30	5947.5	32	3767	41	5141.67	46	2588.7	87
K12537	4934.2	53	3953.9	101	1824.44	15	6624.3	35	2535.8	11	15159	26	5595.14	15	302.23	105	858.3	21	1655.5	84	4236.2	11	10889.4	30	5856.5	32	3767	41	5141.67	46	2563.7	87
K12538	2825.2	32	2195.4	96	1816.44	11	6140.8	31	1797.8	9	14748.5	16	5450.14	10	282.9	99	855.3	21	1654.5	66	3963.7	11	8283.4	19	4423	26	2875	37	5011	30	2407.2	83
K12539	0	0	0	1	2.5	0	19	0	0	0	0	0	11.5	1	43.25	0	20.5	1	0	0	8	1	0	0	0	0	17	0	0	0	0	0
K12540	0	0	0	0	1.5	1	19	0	3	0	0	0	7	1	57	0	16	1	0	0	8	1	0	0	0	1	0	1	0	0	0	0
K12541	12642.48	149	11656.1	119	3906.5	60	15640.11	79	6167.59	68	7790.84	45	8670.57	67	1452.12	31	4843.68	25	718.99	143	10712.69	42	25903.72	117	11194.46	49	7960.17	96	5931.25	96	7658.98	28
K12542	11291.48	138	11656.1	229	5112.5	70	15008.11	78	6799.59	165	9286.84	45	13458.57	135	1500.79	56	4849.68	25	717.99	147	10065.69	44	27296.72	117	11180.46	50	13444.17	97	9119.25	97	7389.98	46
